window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_132120_hold_breath_off_hold_breath_off_w00005,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,20.0,28.0,breathing,accepted,,trusted_breathing,breathing,817,49.001,9.56e-06,23.002903492366805,0.48291187684766346,47.633749748456765,12.344296437654128,6,1.2289627472921194,0.375,45.03980233955553,0.5562455654144287,1.361782657371009,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00006,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,22.0,30.0,breathing,accepted,,trusted_breathing,breathing,816,49.001,0.000517,13.648435606252512,0.3937038956479766,34.66675274765723,19.387681992316292,4,1.3483225869545328,0.125,37.44297734750547,0.46640393137931824,1.2875258875663773,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00007,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,24.0,32.0,breathing,accepted,,trusted_breathing,breathing,811,59.204,0.00103075,45.22364623194097,1.377166830613603,32.83817561286931,94.2983147770976,3,1.1174429338163727,0.125,149.20660791656766,0.4997234642505646,1.9745039314483928,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00008,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,26.0,34.0,breathing,accepted,,trusted_breathing,breathing,801,59.204,0.00106312,34.57463427012735,0.9868838219141851,35.03414839958615,40.417644776499685,2,1.1209729262312322,0.125,109.38425969473735,0.4373694956302643,1.6065710026386872,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00009,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,28.0,36.0,breathing,accepted,,trusted_breathing,breathing,809,63.037,0.00115884,50.465506713498286,1.018711144954582,49.538583104142525,23.841455055283483,6,1.3796258944657118,0.375,74.86596037598684,0.4456806480884552,1.702994638270363,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00010,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,30.0,38.0,breathing,accepted,,trusted_breathing,breathing,796,82.676,0.00139369,69.79354644571137,1.6729244715624398,41.71948443104874,53.39544602199496,4,1.489591435719797,0.125,110.85482418592164,0.4860615134239197,1.8438152668553747,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00011,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,32.0,40.0,breathing,accepted,,trusted_breathing,breathing,808,87.674,0.00077351,38.02803772194557,0.7956671504815385,47.79390188332292,29.148612470101998,4,1.3512602099412931,0.25,74.10091578583561,0.49929800629615784,1.580103916036945,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00012,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,34.0,42.0,breathing,accepted,,trusted_breathing,breathing,813,87.674,0.00089368,133.8532686475263,2.941535961162037,45.50454946490024,83.44381012903658,6,1.5704337174627214,0.125,172.77012072646394,0.5758258104324341,2.126628980963756,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00013,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,36.0,44.0,breathing,accepted,,trusted_breathing,breathing,808,87.674,0.00073484,46.4395762562907,0.9855462297244296,47.12064726707811,44.47772014754999,5,1.3755459377409436,0.375,85.86024000430143,0.6098518967628479,1.666888248310424,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00014,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,38.0,46.0,breathing,accepted,,trusted_breathing,breathing,819,87.674,0.00105884,8.634854489310722,0.29192114132074565,29.579407816146066,20.418001056619463,4,1.1978806255344356,0.125,27.24367951561348,0.6541499495506287,1.310013221953957,1.310013221953957
